ID Obra,Ano Início Obra,Data Início,Ano Fim Obra,Data Fim,UF,Município,Latitude,Longitude,Execução Física,Execução Financeira,Investimento Total,Modalidade,Tipo de Instrumento,Tipo,Subtipo,CNPJ Executor,Funcional Programática,Emenda,Plurianual Prioritário,PróBrasil,Restos a Pagar,Valor Conclusão,Valor Empenhado,Valor Repasse,Valor Desembolsado,Motivo Paralisação,Causa Paralisação,Justificativa Tratativa,Data Previsão Retomada,Data Criação,Data Atualização
710079,2009,2009-12-09 00:00:00,2012,2012-10-09 00:00:00,CE,JATI/CE,-7.689434,-39.006074,-,-,301500.0,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
710096,2009,2010-01-04 00:00:00,2018,2018-04-24 00:00:00,CE,PACOTI/CE,-4.225356,-38.920835,-,0.4510298979895639,254061.53,-,-,-,-,-,-,-,-,-,-,0,0,0,122925.0,-,-,-,-,-,-
710156,2009,2009-12-28 00:00:00,2012,2012-02-28 00:00:00,CE,CAMOCIM/CE,-2.900992,-40.842739,-,-,153150.0,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
710549,2010,2010-05-04 00:00:00,2012,2012-07-04 00:00:00,CE,RUSSAS/CE,-4.935428,-37.978384,-,-,147166.03,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
710727,2009,2009-12-22 00:00:00,2012,2012-07-22 00:00:00,CE,JAGUARETAMA/CE,-5.609242,-38.763008,-,-,301500.0,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
711492,2010,2010-07-14 00:00:00,2013,2013-03-14 00:00:00,CE,ITAPIUNA/CE,-4.565419,-38.921154,-,-,301500.0,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
715566,2010,2010-04-20 00:00:00,2013,2013-04-30 00:00:00,CE,IBICUITINGA/CE,-4.975176,-38.636875,-,-,154297.0,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
721277,2009,2009-12-31 00:00:00,2017,2017-07-23 00:00:00,CE,PACOTI/CE,-4.225356,-38.920835,-,0.616781256244216,309868.4,-,-,-,-,-,-,-,-,-,-,0,0,0,236239.54,-,-,-,-,-,-
722451,2009,2009-12-30 00:00:00,2012,2012-02-28 00:00:00,CE,CANINDE/CE,-4.354795,-39.310852,-,-,103200.0,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
723546,2009,2009-12-31 00:00:00,2011,2011-12-31 00:00:00,CE,VARZEA ALEGRE/CE,-6.793609,-39.298933,-,-,200500.0,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
725493,2009,2009-12-30 00:00:00,2011,2011-12-30 00:00:00,CE,CARIRE/CE,-3.948584,-40.476028,-,-,198257.64,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
727494,2009,2009-12-31 00:00:00,2018,2018-06-18 00:00:00,CE,ITAREMA/CE,-2.922468,-39.915218,-,0.9607729891085931,1014186.9,-,-,-,-,-,-,-,-,-,-,0,0,0,645989.2,-,-,-,-,-,-
729238,2009,2009-12-31 00:00:00,2018,2018-07-23 00:00:00,CE,PACOTI/CE,-4.225356,-38.920835,-,0.8103502398368416,316275.19,-,-,-,-,-,-,-,-,-,-,0,0,0,240000.0,-,-,-,-,-,-
732962,2010,2010-06-17 00:00:00,2012,2012-12-31 00:00:00,CE,MORRINHOS/CE,-3.227575,-40.128078,-,-,1512350.0,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
733509,2010,2010-06-10 00:00:00,2011,2011-06-10 00:00:00,CE,MARANGUAPE/CE,-3.892297,-38.683543,-,-,616666.67,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
735235,2010,2010-06-09 00:00:00,2011,2011-06-09 00:00:00,CE,SANTANA DO CARIRI/CE,-7.186169,-39.737426,-,-,139900.0,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
735738,2010,2010-06-17 00:00:00,2011,2011-09-17 00:00:00,CE,OCARA/CE,-4.491065,-38.596483,-,-,200408.16,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
737080,2010,2010-08-06 00:00:00,2012,2012-12-31 00:00:00,CE,PACOTI/CE,-4.225356,-38.920835,-,-,200408.16,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
737090,2010,2010-07-23 00:00:00,2013,2013-02-28 00:00:00,CE,ALTANEIRA/CE,-6.998093,-39.738574,-,-,212480.5,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
737092,2010,2010-06-18 00:00:00,2018,2018-05-24 00:00:00,CE,PARACURU/CE,-3.41436,-39.030028,-,0.6732392548052639,301326.53,-,-,-,-,-,-,-,-,-,-,0,0,0,147649.63,-,-,-,-,-,-
737096,2010,2010-06-30 00:00:00,2012,2012-12-31 00:00:00,CE,PACAJUS/CE,-4.171073,-38.464988,-,-,204583.33,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
