ID Obra,Ano Início Obra,Data Início,Ano Fim Obra,Data Fim,UF,Município,Latitude,Longitude,Execução Física,Execução Financeira,Investimento Total,Modalidade,Tipo de Instrumento,Tipo,Subtipo,CNPJ Executor,Funcional Programática,Emenda,Plurianual Prioritário,PróBrasil,Restos a Pagar,Valor Conclusão,Valor Empenhado,Valor Repasse,Valor Desembolsado,Motivo Paralisação,Causa Paralisação,Justificativa Tratativa,Data Previsão Retomada,Data Criação,Data Atualização
300967,2008,2008-07-04 00:00:00,2011,2011-04-30 00:00:00,CE,TAUA/CE,-6.003137,-40.294727,1.0,-,0.0,Aplicações Diretas,-,-,-,7849532000147,12.365.PGPP.0000.0001,Não Possui,0,Não,Não,0,1003776.02,950000.0,0.0,-,-,-,-,28/01/2023,09/02/2023
300971,2011,2011-06-22 00:00:00,2011,2011-11-19 00:00:00,CE,SAO JOAO DO JAGUARIBE/CE,-5.271944,-38.271993,0.37,-,0.0,Aplicações Diretas,-,-,-,7891690000165,12.365.PGPP.0000.0001,Não Possui,0,Não,Não,0,1198914.0,1200078.0,0.0,-,-,-,-,28/01/2023,09/02/2023
300972,2009,2009-11-11 00:00:00,2012,2012-07-28 00:00:00,CE,SENADOR SA/CE,-3.3528,-40.464406,1.0,-,0.0,Aplicações Diretas,-,-,-,7598642000183,12.365.PGPP.0000.0001,Não Possui,0,Não,Não,0,949273.76,953232.88,0.0,-,-,-,-,28/01/2023,09/02/2023
300973,1969,1969-12-31 00:00:00,1969,1969-12-31 00:00:00,CE,TAMBORIL/CE,-4.833007,-40.321032,1.0,-,0.0,Aplicações Diretas,-,-,-,7705817000104,12.365.PGPP.0000.0001,Não Possui,0,Não,Não,0,962392.44,962392.44,0.0,-,-,-,-,28/01/2023,09/02/2023
300977,2008,2008-06-26 00:00:00,2009,2009-02-21 00:00:00,CE,TURURU/CE,-3.598549,-39.43581,1.0,-,0.0,Aplicações Diretas,-,-,-,10517878000152,12.365.PGPP.0000.0001,Não Possui,0,Não,Não,0,961335.09,961335.09,0.0,-,-,-,-,28/01/2023,09/02/2023
300978,1969,1969-12-31 00:00:00,1969,1969-12-31 00:00:00,CE,URUBURETAMA/CE,-3.62353,-39.50507,0.0,-,0.0,Aplicações Diretas,-,-,-,7623069000110,12.365.PGPP.0000.0001,Não Possui,0,Não,Não,0,0.0,0.0,0.0,-,-,-,-,28/01/2023,09/02/2023
300979,2008,2008-06-24 00:00:00,2009,2009-03-31 00:00:00,CE,FORTIM/CE,-4.451256,-37.798056,1.0,-,0.0,Aplicações Diretas,-,-,-,35050756000120,12.365.PGPP.0000.0001,Não Possui,0,Não,Não,0,993181.71,999176.77,0.0,-,-,-,-,28/01/2023,09/02/2023
300983,2008,2008-07-04 00:00:00,2010,2010-09-02 00:00:00,CE,TIANGUA/CE,-3.730733,-41.000402,1.0,-,0.0,Aplicações Diretas,-,-,-,7735178000120,12.365.PGPP.0000.0001,Não Possui,0,Não,Não,0,1114861.16,950000.0,0.0,-,-,-,-,28/01/2023,09/02/2023
300992,2008,2008-06-26 00:00:00,2011,2011-03-10 00:00:00,CE,PENTECOSTE/CE,-3.795025,-39.267073,1.0,-,0.0,Aplicações Diretas,-,-,-,7682651000158,12.365.PGPP.0000.0001,Não Possui,0,Não,Não,0,954978.88,950000.0,0.0,-,-,-,-,28/01/2023,09/02/2023
300997,2010,2010-10-11 00:00:00,2012,2012-10-30 00:00:00,CE,FORTALEZA/CE,-3.730451,-38.521799,1.0,-,0.0,Aplicações Diretas,-,-,-,7954605000160,12.365.PGPP.0000.0001,Não Possui,0,Não,Não,0,1257873.61,950000.0,0.0,-,-,-,-,28/01/2023,09/02/2023
300998,1969,1969-12-31 00:00:00,1969,1969-12-31 00:00:00,CE,ITAPIPOCA/CE,-3.496059,-39.58192,1.0,-,0.0,Aplicações Diretas,-,-,-,7623077000167,12.365.PGPP.0000.0001,Não Possui,0,Não,Não,0,958926.25,950000.0,0.0,-,-,-,-,28/01/2023,09/02/2023
300999,1969,1969-12-31 00:00:00,1969,1969-12-31 00:00:00,CE,GUAIUBA/CE,-4.041266,-38.636908,1.0,-,0.0,Aplicações Diretas,-,-,-,12359535000132,12.365.PGPP.0000.0001,Não Possui,0,Não,Não,0,999477.98,950000.0,0.0,-,-,-,-,28/01/2023,09/02/2023
301003,2008,2008-06-20 00:00:00,2008,2008-12-27 00:00:00,CE,JAGUARIBARA/CE,-5.454494,-38.467929,0.9500000000000002,-,0.0,Aplicações Diretas,-,-,-,7442981000176,12.365.PGPP.0000.0001,Não Possui,0,Não,Não,0,957367.99,958807.39,0.0,-,-,-,-,28/01/2023,09/02/2023
301036,1969,1969-12-31 00:00:00,1969,1969-12-31 00:00:00,CE,ARACOIABA/CE,-4.370258,-38.808431,1.0,-,0.0,Aplicações Diretas,-,-,-,7387392000132,12.365.PGPP.0000.0001,Não Possui,0,Não,Não,0,990019.87,950000.0,0.0,-,-,-,-,28/01/2023,09/02/2023
301051,2011,2011-05-06 00:00:00,2011,2011-11-02 00:00:00,CE,ARARIPE/CE,-7.212861,-40.135922,1.0,-,0.0,Aplicações Diretas,-,-,-,7539984000122,12.365.PGPP.0000.0001,Não Possui,0,Não,Não,0,1285795.24,1289661.84,0.0,-,-,-,-,28/01/2023,09/02/2023
301052,2008,2008-06-02 00:00:00,2009,2009-01-28 00:00:00,CE,BELA CRUZ/CE,-3.052913,-40.167582,1.0,-,0.0,Aplicações Diretas,-,-,-,7566045000177,12.365.PGPP.0000.0001,Não Possui,0,Não,Não,0,964286.78,965200.0,0.0,-,-,-,-,28/01/2023,09/02/2023
301053,1969,1969-12-31 00:00:00,1969,1969-12-31 00:00:00,CE,BREJO SANTO/CE,-7.490984,-38.985915,0.0,-,0.0,Aplicações Diretas,-,-,-,7620701000172,12.365.PGPP.0000.0001,Não Possui,0,Não,Não,0,0.0,950000.0,0.0,-,-,-,-,28/01/2023,09/02/2023
301054,2008,2008-06-27 00:00:00,2012,2012-05-27 00:00:00,CE,CAMOCIM/CE,-2.900992,-40.842739,1.0,-,0.0,Aplicações Diretas,-,-,-,7660350000123,12.365.PGPP.0000.0001,Não Possui,0,Não,Não,0,985508.51,989524.14,0.0,-,-,-,-,28/01/2023,09/02/2023
301056,2011,2011-03-29 00:00:00,2011,2011-12-31 00:00:00,CE,BARBALHA/CE,-7.312107,-39.303643,1.0,-,0.0,Aplicações Diretas,-,-,-,6740278000181,12.365.PGPP.0000.0001,Não Possui,0,Não,Não,0,714453.95,950000.0,0.0,-,-,-,-,28/01/2023,09/02/2023
301058,2010,2010-04-29 00:00:00,2010,2010-10-26 00:00:00,CE,CAUCAIA/CE,-3.730056,-38.659308,1.0,-,0.0,Aplicações Diretas,-,-,-,7616162000106,12.365.PGPP.0000.0001,Não Possui,0,Não,Não,0,1026964.26,1037382.1,0.0,-,-,-,-,28/01/2023,09/02/2023
301059,2008,2008-06-30 00:00:00,2008,2008-12-31 00:00:00,CE,CRUZ/CE,-2.918128,-40.175981,1.0,-,0.0,Aplicações Diretas,-,-,-,7663917000115,12.365.PGPP.0000.0001,Não Possui,0,Não,Não,0,1127892.76,950000.0,0.0,-,-,-,-,28/01/2023,09/02/2023
301154,2009,2009-10-09 00:00:00,2010,2010-06-30 00:00:00,CE,MAURITI/CE,-7.387009,-38.773775,0.5,-,0.0,Aplicações Diretas,-,-,-,7655269000155,12.365.PGPP.0000.0001,Não Possui,0,Não,Não,0,1025000.0,950000.0,0.0,-,-,-,-,28/01/2023,09/02/2023
301155,1969,1969-12-31 00:00:00,1969,1969-12-31 00:00:00,CE,NOVA RUSSAS/CE,-4.705168,-40.565519,0.99,-,0.0,Aplicações Diretas,-,-,-,7993439000101,12.365.PGPP.0000.0001,Não Possui,0,Não,Não,0,979939.16,950000.0,0.0,-,-,-,-,28/01/2023,09/02/2023
301156,2008,2008-06-18 00:00:00,2010,2010-12-18 00:00:00,CE,NOVO ORIENTE/CE,-5.535034,-40.77489,1.0,-,0.0,Aplicações Diretas,-,-,-,7982010000119,12.365.PGPP.0000.0001,Não Possui,0,Não,Não,0,977295.24,950000.0,0.0,-,-,-,-,28/01/2023,09/02/2023
301157,1969,1969-12-31 00:00:00,1969,1969-12-31 00:00:00,CE,PALMACIA/CE,-4.147801,-38.846032,0.27,-,0.0,Aplicações Diretas,-,-,-,7711666000105,12.365.PGPP.0000.0001,Não Possui,0,Não,Não,0,964284.64,965200.0,0.0,-,-,-,-,28/01/2023,09/02/2023
301158,2010,2010-01-15 00:00:00,2011,2011-01-15 00:00:00,CE,PARAIPABA/CE,-3.437987,-39.147868,1.0,-,0.0,Aplicações Diretas,-,-,-,10380608000142,12.365.PGPP.0000.0001,Não Possui,0,Não,Não,0,1148212.26,940500.0,0.0,-,-,-,-,28/01/2023,09/02/2023
301185,2008,2008-09-22 00:00:00,2010,2010-07-29 00:00:00,CE,FARIAS BRITO/CE,-6.927282,-39.571422,1.0,-,0.0,Aplicações Diretas,-,-,-,7595572000100,12.365.PGPP.0000.0001,Não Possui,0,Não,Não,0,975077.84,950000.0,0.0,-,-,-,-,28/01/2023,09/02/2023
301186,2014,2014-05-22 00:00:00,2015,2015-05-22 00:00:00,CE,ITAICABA/CE,-4.68054,-37.823997,0.84,-,0.0,Aplicações Diretas,-,-,-,7403769000108,12.365.PGPP.0000.0001,Não Possui,0,Não,Não,0,402920.03,989155.16,0.0,-,-,-,-,28/01/2023,09/02/2023
301594,2008,2008-06-26 00:00:00,2010,2010-09-04 00:00:00,CE,UMIRIM/CE,-3.677774,-39.348725,0.73,-,0.0,Aplicações Diretas,-,-,-,6582464000130,12.365.PGPP.0000.0001,Não Possui,0,Não,Não,0,962787.0,965200.0,0.0,-,-,-,-,28/01/2023,09/02/2023
301616,2015,2015-04-01 00:00:00,2016,2016-03-31 00:00:00,CE,MARACANAU/CE,-3.877944,-38.62477,1.0,-,0.0,Aplicações Diretas,-,-,-,7605850000162,12.365.PGPP.0000.0001,Não Possui,0,Não,Não,0,312110.69,1333109.74,0.0,-,-,-,-,28/01/2023,09/02/2023
301623,2008,2008-09-04 00:00:00,2010,2010-10-01 00:00:00,CE,PENAFORTE/CE,-7.828837,-39.075191,1.0,-,0.0,Aplicações Diretas,-,-,-,7414931000185,12.365.PGPP.0000.0001,Não Possui,0,Não,Não,0,945339.68,945339.68,0.0,-,-,-,-,28/01/2023,09/02/2023
301645,2008,2008-06-26 00:00:00,2009,2009-01-22 00:00:00,CE,PEDRA BRANCA/CE,-5.455674,-39.716629,1.0,-,0.0,Aplicações Diretas,-,-,-,7726540000104,12.365.PGPP.0000.0001,Não Possui,0,Não,Não,0,1075183.71,950000.0,0.0,-,-,-,-,28/01/2023,09/02/2023
301650,2008,2008-08-22 00:00:00,2011,2011-12-05 00:00:00,CE,BARROQUINHA/CE,-3.020037,-41.133923,1.0,-,0.0,Aplicações Diretas,-,-,-,23478597000180,12.365.PGPP.0000.0001,Não Possui,0,Não,Não,0,1002777.25,1034443.9,0.0,-,-,-,-,28/01/2023,09/02/2023
301652,1969,1969-12-31 00:00:00,1969,1969-12-31 00:00:00,CE,ITAITINGA/CE,-3.965768,-38.529763,1.0,-,0.0,Aplicações Diretas,-,-,-,41563628000182,12.365.PGPP.0000.0001,Não Possui,0,Não,Não,0,959983.44,950000.0,0.0,-,-,-,-,28/01/2023,09/02/2023
301655,2008,2008-06-24 00:00:00,2010,2010-12-02 00:00:00,CE,HORIZONTE/CE,-4.096462,-38.496557,0.89,-,0.0,Aplicações Diretas,-,-,-,23555196000186,12.365.PGPP.0000.0001,Não Possui,0,Não,Não,0,1026088.51,950000.0,0.0,-,-,-,-,28/01/2023,09/02/2023
301658,2009,2009-12-01 00:00:00,2010,2010-10-29 00:00:00,CE,MARANGUAPE/CE,-3.892297,-38.683543,1.0,-,0.0,Aplicações Diretas,-,-,-,7963051000168,12.365.PGPP.0000.0001,Não Possui,0,Não,Não,0,1105411.56,1106186.87,0.0,-,-,-,-,28/01/2023,09/02/2023
301669,2008,2008-06-03 00:00:00,2011,2011-01-30 00:00:00,CE,AQUIRAZ/CE,-3.906312,-38.387504,1.0,-,0.0,Aplicações Diretas,-,-,-,7911696000157,12.365.PGPP.0000.0001,Não Possui,0,Não,Não,0,1029820.39,950000.0,0.0,-,-,-,-,28/01/2023,09/02/2023
301671,2008,2008-06-27 00:00:00,2008,2008-12-24 00:00:00,CE,CASCAVEL/CE,-4.129666,-38.241178,0.97,-,0.0,Aplicações Diretas,-,-,-,7589369000120,12.365.PGPP.0000.0001,Não Possui,0,Não,Não,0,1096940.0,950000.0,0.0,-,-,-,-,28/01/2023,09/02/2023
301694,2008,2008-06-17 00:00:00,2008,2008-12-14 00:00:00,CE,JAGUARETAMA/CE,-5.609242,-38.763008,0.19,-,0.0,Aplicações Diretas,-,-,-,7442825000105,12.365.PGPP.0000.0001,Não Possui,0,Não,Não,0,961436.53,965200.0,0.0,-,-,-,-,28/01/2023,09/02/2023
301703,2008,2008-06-25 00:00:00,2008,2008-09-23 00:00:00,CE,JAGUARIBE/CE,-5.885459,-38.621296,1.0,-,0.0,Aplicações Diretas,-,-,-,7443708000166,12.365.PGPP.0000.0001,Não Possui,0,Não,Não,0,991842.23,950000.0,0.0,-,-,-,-,28/01/2023,09/02/2023
301712,2008,2008-06-23 00:00:00,2010,2010-10-29 00:00:00,CE,IGUATU/CE,-6.361934,-39.297223,1.0,-,0.0,Aplicações Diretas,-,-,-,7810468000190,12.365.PGPP.0000.0001,Não Possui,0,Não,Não,0,1117042.95,1154275.69,0.0,-,-,-,-,28/01/2023,09/02/2023
301741,2015,2015-10-19 00:00:00,2016,2016-06-15 00:00:00,CE,SAO BENEDITO/CE,-4.048435,-40.864601,1.0,-,0.0,Aplicações Diretas,-,-,-,7778129000174,12.365.PGPP.0000.0001,Não Possui,0,Não,Não,0,943135.29,950000.0,0.0,-,-,-,-,28/01/2023,09/02/2023
301755,2008,2008-07-02 00:00:00,2011,2011-11-30 00:00:00,CE,ITAPAGE/CE,-3.667709,-39.591776,1.0,-,0.0,Aplicações Diretas,-,-,-,7683956000184,12.365.PGPP.0000.0001,Não Possui,0,Não,Não,0,1058409.61,1100000.0,0.0,-,-,-,-,28/01/2023,09/02/2023
301776,2008,2008-11-24 00:00:00,2011,2011-05-17 00:00:00,CE,JAGUARUANA/CE,-4.831508,-37.780997,1.0,-,0.0,Aplicações Diretas,-,-,-,7615750000117,12.365.PGPP.0000.0001,Não Possui,0,Não,Não,0,959714.41,950000.0,0.0,-,-,-,-,28/01/2023,09/02/2023
301784,2008,2008-06-20 00:00:00,2008,2008-10-21 00:00:00,CE,JUAZEIRO DO NORTE/CE,-7.215345,-39.315334,1.0,-,0.0,Aplicações Diretas,-,-,-,7974082000114,12.365.PGPP.0000.0001,Não Possui,0,Não,Não,0,1097000.0,1100000.0,0.0,-,-,-,-,28/01/2023,09/02/2023
